timer,hart
0.0,515
0.854790319355,514
1.70958063871,514
2.56437095806,512
3.41916127742,512
4.27395159677,513
5.12874191613,513
5.98353223548,514
6.83832255484,512
7.69311287419,512
8.54790319355,513
9.4026935129,513
10.2574838323,513
11.1122741516,514
11.967064471,514
12.8218547903,515
13.6766451097,515
14.531435429,516
15.3862257484,516
16.2410160677,516
17.0958063871,515
17.9505967064,515
18.8053870258,516
19.6601773452,516
20.5149676645,514
21.3697579839,515
22.2245483032,514
23.0793386226,512
23.9341289419,512
24.7889192613,513
25.6437095806,514
26.4984999,514
27.3532902193,514
28.2080805387,516
29.0628708581,515
29.9176611774,515
30.7724514968,515
31.6272418161,515
32.4820321355,516
33.3368224548,515
34.1916127742,515
35.0464030935,515
35.9011934129,515
36.7559837322,514
37.6107740516,514
38.465564371,514
39.3203546903,514
40.1751450097,514
41.029935329,514
41.8847256484,514
42.7395159677,513
43.5943062871,514
44.4490966064,513
45.3038869258,514
46.1586772451,514
47.0134675645,514
47.8682578839,515
48.7230482032,515
49.5778385226,514
50.4326288419,514
51.2874191613,516
52.1422094806,516
52.9969998,514
53.8517901193,515
54.7065804387,516
55.5613707581,517
56.4161610774,515
57.2709513968,515
58.1257417161,514
58.9805320355,513
59.8353223548,512
60.6901126742,511
61.5449029935,512
62.3996933129,512
63.2544836322,512
64.1092739516,512
64.964064271,512
65.8188545903,513
66.6736449097,512
67.528435229,513
68.3832255484,514
69.2380158677,513
70.0928061871,513
70.9475965064,514
71.8023868258,515
72.6571771451,515
73.5119674645,515
74.3667577839,514
75.2215481032,515
76.0763384226,515
76.9311287419,515
77.7859190613,517
78.6407093806,516
79.4954997,516
80.3502900193,517
81.2050803387,517
82.059870658,517
82.9146609774,515
83.7694512968,517
84.6242416161,516
85.4790319355,516
86.3338222548,515
87.1886125742,514
88.0434028935,514
88.8981932129,515
89.7529835322,513
90.6077738516,513
91.4625641709,513
92.3173544903,513
93.1721448097,514
94.026935129,514
94.8817254484,515
95.7365157677,515
96.5913060871,514
97.4460964064,514
98.3008867258,514
99.1556770451,515
100.010467364,515
100.865257684,515
101.720048003,515
102.574838323,515
103.429628642,515
104.284418961,514
105.139209281,516
105.9939996,515
106.848789919,515
107.703580239,516
108.558370558,515
109.413160877,516
110.267951197,514
111.122741516,516
111.977531835,516
112.832322155,515
113.687112474,514
114.541902794,514
115.396693113,515
116.251483432,514
117.106273752,514
117.961064071,515
118.81585439,516
119.67064471,515
120.525435029,514
121.380225348,515
122.235015668,514
123.089805987,513
123.944596306,514
124.799386626,514
125.654176945,513
126.508967264,513
127.363757584,514
128.218547903,516
129.073338223,516
129.928128542,515
130.782918861,516
131.637709181,515
132.4924995,514
133.347289819,516
134.202080139,515
135.056870458,516
135.911660777,516
136.766451097,515
137.621241416,515
138.476031735,516
139.330822055,515
140.185612374,514
141.040402694,515
141.895193013,514
142.749983332,513
143.604773652,513
144.459563971,513
145.31435429,514
146.16914461,513
147.023934929,515
147.878725248,515
148.733515568,515
149.588305887,514
150.443096206,514
151.297886526,516
152.152676845,514
153.007467164,514
153.862257484,514
154.717047803,514
155.571838123,513
156.426628442,513
157.281418761,515
158.136209081,514
158.9909994,515
159.845789719,514
160.700580039,514
161.555370358,515
162.410160677,515
163.264950997,515
164.119741316,516
164.974531635,517
165.829321955,516
166.684112274,515
167.538902594,516
168.393692913,516
169.248483232,515
170.103273552,513
170.958063871,514
171.81285419,514
172.66764451,513
173.522434829,514
174.377225148,514
175.232015468,515
176.086805787,514
176.941596106,515
177.796386426,516
178.651176745,515
179.505967064,515
180.360757384,515
181.215547703,516
182.070338023,515
182.925128342,515
183.779918661,515
184.634708981,516
185.4894993,515
186.344289619,515
187.199079939,516
188.053870258,515
188.908660577,514
189.763450897,513
190.618241216,514
191.473031535,513
192.327821855,513
193.182612174,513
194.037402493,513
194.892192813,514
